Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8988167643481145,0.8785896997323669,0.6438631790744467,0.30245746691871456,0.4115755627009646,0.39530259079342783
Decision Tree,0.8747097202255889,0.696600135177844,0.4645222327341533,0.46408317580340264,0.46430260047281324,0.3933615941080496
KNN,0.8956098639831914,0.7953237580387612,0.5959595959595959,0.33459357277882795,0.42857142857142855,0.3951161590213449
Naive Bayes,0.8624350326219175,0.8206252152843293,0.4194107452339688,0.45746691871455575,0.4376130198915009,0.35985397522171925
Random Forest,0.9036824062811014,0.9184354407425075,0.6401799100449775,0.40359168241965976,0.4950724637681159,0.4593362535549642
